Plot,Tree Number,Species,DBH,Height
23,1,Slash pine,5.00,24.60
23,2,Slash pine,6.10,34.40
23,3,Slash pine,4.60,26.80
23,4,Slash pine,5.90,32.90
23,5,Slash pine,2.10,13.90
23,6,Slash pine,5.40,29.20
23,7,Slash pine,5.40,31.00
23,8,Slash pine,3.90,24.70
23,9,Slash pine,3.90,22.30
23,10,Slash pine,2.20,14.80
23,10,Slash pine,1.00,12.60
23,10,Slash pine,1.00,13.60
23,11,Slash pine,3.60,14.60
23,11,Slash pine,1.20,18.80
23,12,Slash pine,6.20,32.10
23,13,Slash pine,5.10,31.60
23,14,Slash pine,3.20,22.60
23,15,Slash pine,4.00,27.40
23,16,Slash pine,4.40,31.40
23,17,Slash pine,3.90,28.90
23,18,Slash pine,4.20,35.60
23,19,Slash pine,3.90,27.80
23,20,Slash pine,4.40,25.30
23,21,Slash pine,4.80,31.50
23,22,Slash pine,4.00,26.10
23,23,Slash pine,6.10,30.70
23,24,Slash pine,6.00,32.70
23,25,Slash pine,5.20,31.80
53,1,Slash pine,3.30,26.40
53,2,Slash pine,4.00,30.40
53,3,Slash pine,3.30,20.90
53,4,Slash pine,1.60,15.50
53,5,Slash pine,5.40,31.10
53,6,Slash pine,3.00,25.50
53,7,Slash pine,3.00,23.80
53,8,Slash pine,1.70,20.50
53,9,Slash pine,3.30,27.40
53,10,Slash pine,3.80,28.40
53,11,Slash pine,2.80,23.20
53,12,Slash pine,6.40,37.90
53,13,Slash pine,4.70,31.50
53,14,Slash pine,4.70,35.30
53,15,Slash pine,3.40,24.50
53,16,Slash pine,4.20,32.70
53,17,Slash pine,2.90,23.50
53,18,Slash pine,5.50,26.20
53,19,Slash pine,4.90,31.90
53,20,Slash pine,4.80,33.30
53,21,Slash pine,5.40,34.10
53,22,Slash pine,4.00,32.00
53,23,Slash pine,6.10,34.20
53,24,Slash pine,3.10,24.50
53,25,Slash pine,5.90,36.10
53,26,Slash pine,4.40,33.10
53,27,Slash pine,4.30,32.90
53,28,Slash pine,5.50,32.70
53,29,Slash pine,4.10,31.70
53,30,Slash pine,4.20,31.20
53,31,Slash pine,5.30,34.80
53,32,Slash pine,5.80,37.00
53,33,Slash pine,4.90,33.00
53,34,Slash pine,1.50,18.70
53,35,Slash pine,4.80,37.50
53,36,Slash pine,4.20,27.90
53,37,Slash pine,2.70,23.20
53,38,Slash pine,5.90,0.00
53,39,Slash pine,4.70,36.90
53,40,Slash pine,1.90,15.60
53,41,Slash pine,1.40,20.20
53,42,Slash pine,5.50,36.40
53,43,Slash pine,6.20,36.20
24,1,Slash pine,3.80,29.10
24,2,Slash pine,5.70,35.00
24,3,Slash pine,3.10,23.40
24,4,Slash pine,4.90,33.90
24,5,Slash pine,5.20,32.10
24,6,Slash pine,5.50,31.10
24,7,Slash pine,3.40,23.50
24,8,Slash pine,3.10,21.20
24,9,Slash pine,5.60,33.30
24,10,Slash pine,4.00,26.50
24,11,Slash pine,4.50,32.50
24,12,Slash pine,4.50,31.60
24,12,Slash pine,2.80,24.10
24,13,Slash pine,4.30,29.60
24,14,Slash pine,3.60,29.10
24,15,Slash pine,1.80,24.50
24,16,Slash pine,5.70,34.40
24,17,Slash pine,3.70,30.20
24,18,Slash pine,3.90,26.70
24,19,Slash pine,3.30,26.50
24,20,Slash pine,3.90,28.30
24,21,Slash pine,2.70,25.80
24,22,Slash pine,4.80,32.20
24,23,Slash pine,5.10,29.00
24,24,Slash pine,4.10,30.70
24,25,Slash pine,4.10,29.90
24,26,Slash pine,1.40,16.30
24,27,Slash pine,4.90,33.10
24,28,Slash pine,4.40,32.20
24,29,Slash pine,1.20,14.40
24,30,Slash pine,4.20,37.10
24,31,Slash pine,3.40,31.80
24,32,Slash pine,3.90,29.50
24,33,Slash pine,4.90,32.80
24,34,Slash pine,4.10,28.30
24,35,Slash pine,3.80,32.80
24,36,Slash pine,5.20,33.40
24,37,Slash pine,2.60,26.60
24,37,Slash pine,2.60,24.50
24,38,Slash pine,1.40,20.40
24,39,Slash pine,1.90,23.50
24,40,Slash pine,3.80,31.40
24,41,Slash pine,5.20,36.90
54,1,Slash pine,4.00,31.00
54,2,Slash pine,2.50,20.60
54,3,Slash pine,5.60,31.50
54,4,Slash pine,4.30,28.10
54,5,Slash pine,2.70,20.30
54,6,Slash pine,4.50,31.30
54,7,Slash pine,3.20,26.50
54,8,Slash pine,4.70,30.80
54,9,Slash pine,4.20,30.70
54,10,Slash pine,4.00,25.90
54,11,Slash pine,5.70,35.70
54,12,Slash pine,1.80,19.90
54,13,Slash pine,4.60,32.70
54,14,Slash pine,5.20,32.50
54,15,Slash pine,4.00,31.10
54,16,Slash pine,5.10,32.70
54,17,Slash pine,5.90,34.20
54,18,Slash pine,3.90,25.70
54,19,Slash pine,4.00,28.10
54,20,Slash pine,4.70,32.20
54,21,Slash pine,3.50,28.50
54,22,Slash pine,4.80,32.40
54,23,Slash pine,2.70,23.10
54,24,Slash pine,4.20,26.50
54,25,Slash pine,3.70,25.50
54,26,Slash pine,3.40,23.90
54,27,Slash pine,3.50,27.60
54,28,Slash pine,4.50,30.10
54,29,Slash pine,2.90,20.70
54,30,Slash pine,3.40,25.10
54,31,Slash pine,2.80,23.00
54,32,Slash pine,4.40,28.40
54,33,Slash pine,4.60,32.60
